Source File,Timestamp,MySQL tpm
trx1.json,2025-06-07 23:46:09,0
trx1.json,2025-06-07 23:46:19,25338
trx1.json,2025-06-07 23:46:29,47370
trx1.json,2025-06-07 23:46:39,48372
trx1.json,2025-06-07 23:46:49,48198
trx1.json,2025-06-07 23:46:59,48960
trx1.json,2025-06-07 23:47:09,47946
trx1.json,2025-06-07 23:47:19,50700
trx1.json,2025-06-07 23:47:29,51444
trx1.json,2025-06-07 23:47:40,48030
trx1.json,2025-06-07 23:47:50,53400
trx1.json,2025-06-07 23:48:00,51186
trx1.json,2025-06-07 23:48:10,50820
trx1.json,2025-06-07 23:48:20,53160
trx1.json,2025-06-07 23:48:30,50892
trx1.json,2025-06-07 23:48:40,49560
trx1.json,2025-06-07 23:48:50,50442
trx1.json,2025-06-07 23:49:00,50322
trx1.json,2025-06-07 23:49:11,50052
trx1.json,2025-06-07 23:49:21,49734
trx1.json,2025-06-07 23:49:31,55812
trx1.json,2025-06-07 23:49:41,45942
trx1.json,2025-06-07 23:49:51,57270
trx1.json,2025-06-07 23:50:01,68544
trx1.json,2025-06-07 23:50:11,63588
trx1.json,2025-06-07 23:50:21,67002
trx1.json,2025-06-07 23:50:31,68010
trx1.json,2025-06-07 23:50:42,51288
trx1.json,2025-06-07 23:50:52,50172
trx1.json,2025-06-07 23:51:02,49194
trx1.json,2025-06-07 23:51:12,50526
trx1.json,2025-06-07 23:51:22,48924
trx1.json,2025-06-07 23:51:32,47460
trx1.json,2025-06-07 23:51:42,50826
trx1.json,2025-06-07 23:51:52,48774
trx1.json,2025-06-07 23:52:02,48474
trx1.json,2025-06-07 23:52:12,47592
trx1.json,2025-06-07 23:52:23,50394
trx1.json,2025-06-07 23:52:33,47412
trx1.json,2025-06-07 23:52:43,48546
trx1.json,2025-06-07 23:52:53,49284
trx1.json,2025-06-07 23:53:03,47778
trx1.json,2025-06-07 23:53:13,38220
trx2.json,2025-06-08 00:03:09,0
trx2.json,2025-06-08 00:03:20,23160
trx2.json,2025-06-08 00:03:30,46626
trx2.json,2025-06-08 00:03:40,47934
trx2.json,2025-06-08 00:03:50,47436
trx2.json,2025-06-08 00:04:00,46116
trx2.json,2025-06-08 00:04:10,52692
trx2.json,2025-06-08 00:04:20,50256
trx2.json,2025-06-08 00:04:30,48942
trx2.json,2025-06-08 00:04:40,51858
trx2.json,2025-06-08 00:04:50,51480
trx2.json,2025-06-08 00:05:00,51312
trx2.json,2025-06-08 00:05:11,50808
trx2.json,2025-06-08 00:05:21,52314
trx2.json,2025-06-08 00:05:31,51960
trx2.json,2025-06-08 00:05:41,51042
trx2.json,2025-06-08 00:05:51,52500
trx2.json,2025-06-08 00:06:01,51222
trx2.json,2025-06-08 00:06:11,48732
trx2.json,2025-06-08 00:06:21,56376
trx2.json,2025-06-08 00:06:31,45798
trx2.json,2025-06-08 00:06:41,46284
trx2.json,2025-06-08 00:06:51,51342
trx2.json,2025-06-08 00:07:02,68112
trx2.json,2025-06-08 00:07:12,66942
trx2.json,2025-06-08 00:07:22,65832
trx2.json,2025-06-08 00:07:32,75918
trx2.json,2025-06-08 00:07:42,41310
trx2.json,2025-06-08 00:07:52,42636
trx2.json,2025-06-08 00:08:02,49482
trx2.json,2025-06-08 00:08:12,50928
trx2.json,2025-06-08 00:08:22,49080
trx2.json,2025-06-08 00:08:33,47454
trx2.json,2025-06-08 00:08:43,51348
trx2.json,2025-06-08 00:08:53,48720
trx2.json,2025-06-08 00:09:03,49050
trx2.json,2025-06-08 00:09:13,48660
trx2.json,2025-06-08 00:09:23,50808
trx2.json,2025-06-08 00:09:33,48366
trx2.json,2025-06-08 00:09:43,47754
trx2.json,2025-06-08 00:09:53,50268
trx2.json,2025-06-08 00:10:03,48444
trx2.json,2025-06-08 00:10:14,42690
trx2.json,2025-06-08 00:10:24,9168
trx3.json,2025-06-08 00:20:28,0
trx3.json,2025-06-08 00:20:38,23616
trx3.json,2025-06-08 00:20:48,47982
trx3.json,2025-06-08 00:20:58,47514
trx3.json,2025-06-08 00:21:08,47706
trx3.json,2025-06-08 00:21:19,46926
trx3.json,2025-06-08 00:21:29,48318
trx3.json,2025-06-08 00:21:39,36138
trx3.json,2025-06-08 00:21:49,49236
trx3.json,2025-06-08 00:21:59,52758
trx3.json,2025-06-08 00:22:09,51054
trx3.json,2025-06-08 00:22:19,51012
trx3.json,2025-06-08 00:22:29,49632
trx3.json,2025-06-08 00:22:39,46356
trx3.json,2025-06-08 00:22:49,51252
trx3.json,2025-06-08 00:23:00,50106
trx3.json,2025-06-08 00:23:10,51108
trx3.json,2025-06-08 00:23:20,51042
trx3.json,2025-06-08 00:23:30,48078
trx3.json,2025-06-08 00:23:40,53256
trx3.json,2025-06-08 00:23:50,51912
trx3.json,2025-06-08 00:24:00,55338
trx3.json,2025-06-08 00:24:10,65682
trx3.json,2025-06-08 00:24:20,64584
trx3.json,2025-06-08 00:24:30,65724
trx3.json,2025-06-08 00:24:40,67374
trx3.json,2025-06-08 00:24:51,71718
trx3.json,2025-06-08 00:25:01,31830
trx3.json,2025-06-08 00:25:11,47106
trx3.json,2025-06-08 00:25:21,51564
trx3.json,2025-06-08 00:25:31,49602
trx3.json,2025-06-08 00:25:41,49278
trx3.json,2025-06-08 00:25:51,49872
trx3.json,2025-06-08 00:26:01,49314
trx3.json,2025-06-08 00:26:11,49614
trx3.json,2025-06-08 00:26:21,46944
trx3.json,2025-06-08 00:26:32,51438
trx3.json,2025-06-08 00:26:42,49032
trx3.json,2025-06-08 00:26:52,49446
trx3.json,2025-06-08 00:27:02,48684
trx3.json,2025-06-08 00:27:12,49326
trx3.json,2025-06-08 00:27:22,49818
trx3.json,2025-06-08 00:27:32,40650
trx4.json,2025-06-08 00:38:13,0
trx4.json,2025-06-08 00:38:24,23742
trx4.json,2025-06-08 00:38:34,47502
trx4.json,2025-06-08 00:38:44,169116
trx4.json,2025-06-08 00:38:54,47286
trx4.json,2025-06-08 00:39:04,46332
trx4.json,2025-06-08 00:39:14,46872
trx4.json,2025-06-08 00:39:24,48846
trx4.json,2025-06-08 00:39:34,48720
trx4.json,2025-06-08 00:39:44,51180
trx4.json,2025-06-08 00:39:54,51348
trx4.json,2025-06-08 00:40:05,49758
trx4.json,2025-06-08 00:40:15,53184
trx4.json,2025-06-08 00:40:25,51054
trx4.json,2025-06-08 00:40:35,51018
trx4.json,2025-06-08 00:40:45,50028
